pair_id,probe,metric,n_groups,n_courses,dose_mean,dose_ci_99_5_lower,dose_ci_99_5_upper,target_minus_sham_mean,target_minus_sham_ci_99_5_lower,target_minus_sham_ci_99_5_upper,controls_pass,verdict
C1__timing_clean_rate,C1_timing_jitter,timing.clean_rate,80,333,-0.7441132117688026,-0.8151255955294215,-0.6669993160588435,-0.5016433031483702,-0.557667712201931,-0.44600393967586843,true,SURVIVES
C1s__timing_p99,C1s_sparse_jitter,timing.absolute_error_p99_ms,80,332,-0.23409768705365647,-0.34350979893178796,-0.13367948855510595,-0.3060017175597708,-0.5083130236821816,-0.14415103892388312,true,SURVIVES
C2__timing_phase_abs,C2_anchor_shift,timing.grid_phase_offset_abs_ms,80,333,-0.9157499999999998,-0.98125,-0.8257487499999997,-55.5765625,-61.42675390625,-49.831187499999984,true,SURVIVES
C3__transition,C3_type_shuffle,transition_validity_score,80,333,-0.8001085412256312,-0.8558586769021637,-0.7371079573725673,-0.23063982786336065,-0.26223657334175937,-0.19853695189110443,true,SURVIVES
C4__repetition,C4_loop_collapse,repetition_adequacy_score,80,333,-0.4446630320197601,-0.573406539674599,-0.31188201488547185,-0.1654512415443341,-0.22564482104497666,-0.10766323668084578,true,SURVIVES
C5__repetition,C5_blandification,repetition_adequacy_score,80,333,-0.35828658870992514,-0.4589517664030271,-0.2584138708188906,-0.1309997576445224,-0.18854931204998251,-0.07759928844076433,true,SURVIVES
C5__surface_variety,C5_blandification,surface_variety_adequacy_score,80,333,-0.35828658870992514,-0.4558409955389629,-0.2546490062961315,-0.13099975764452249,-0.18648616394824086,-0.07385252360647898,true,SURVIVES
C6__density,C6_density_scale,density_adequacy_score,80,333,-0.6930019703762486,-0.7843720629843747,-0.5793850835055417,-0.581617642873763,-0.671926612077162,-0.48258032134837703,true,SURVIVES
C7__density_spike,C7_burst_insert,density_spike_score,80,333,-0.940032218397946,-0.9500500553130761,-0.9296850729698268,-0.6191632365398558,-0.6436178260189218,-0.5932441716725135,true,SURVIVES
C8__repetition,C8_bar_shuffle,repetition_adequacy_score,80,330,-0.5890921661118667,-0.7283928387350407,-0.4354523529602096,-0.22439737088329573,-0.2926127443315933,-0.15586982275199532,true,SURVIVES
