metric,metric_key,probe,orientation,n_complete_charts,pooled_spearman_dose,mean_within_chart_spearman,mean_maxdose_oriented_delta,median_maxdose_raw_delta,improve_minus_worsen,phase,spec_sha256,source_sha256
reciprocity,reciprocity,C1_timing_jitter,higher_is_better,170,-0.08623932154542588,-0.32496326153083455,-0.01630695669560433,-0.010487682476237284,-0.5588235294117647,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C1s_sparse_jitter,higher_is_better,170,-0.0017455953428862417,-0.04159113170499674,-0.0011323107680967226,0.0,-0.005882352941176505,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C2_anchor_shift,higher_is_better,170,-0.00341749552167049,-0.03787435860383505,-0.0006513113380265051,0.0,-0.07058823529411765,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C3_type_shuffle,higher_is_better,170,-0.18721103622039797,-0.28030186295264403,-0.031033776830735584,-0.026076718123589047,-0.4294117647058824,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C4_loop_collapse,higher_is_better,170,-0.6121628014587127,-0.8891391621740087,-0.0860732013328561,-0.0716251989405522,-0.9352941176470588,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C5_blandification,higher_is_better,170,-0.34963591801035326,-0.5508380003414273,-0.050551773197825355,-0.03853882203775127,-0.6176470588235294,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C6_density_scale,higher_is_better,170,-0.03376217448281085,-0.16472803711413372,-0.033407952553228475,-0.024359860442048947,-0.6058823529411764,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C7_burst_insert,higher_is_better,170,-0.052889208531245804,-0.35117015790722234,-0.011454222240972322,-0.006437945674534248,-0.5352941176470588,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
reciprocity,reciprocity,C8_bar_shuffle,higher_is_better,170,-0.5055849414438706,-0.6754850325413745,-0.07076921808329363,-0.06267224830546955,-0.8058823529411765,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
stagnation_alienation,boredom_v2_raw,C1_timing_jitter,higher_is_better,170,-0.0074545991051146515,-0.11745077695016651,-0.001630309279029313,0.0,-0.11764705882352941,development_descriptive,78bdc08cd414195af5e372c0b5c302f56040259d0689789ff135db1e7e1e948f,0babae4e8e0b673ed487a20ce5d90786297ab5ed0632180fbe842c9e927442c7
