row x j
0 -38.5000 0.4443
0 -38.5000 0.0623
0 -38.0000 -0.3197
0 -38.0000 0.2984
0 -35.5000 -0.0836
0 -35.5000 -0.4656
0 -35.5000 0.1525
0 -35.5000 -0.2295
0 -35.5000 0.3885
0 -35.0000 0.0066
0 -34.5000 -0.3754
0 -34.0000 0.2426
0 -33.5000 -0.1393
0 -32.5000 0.4787
0 -32.5000 0.0967
0 -32.5000 -0.2852
0 -32.5000 0.3328
0 -32.0000 -0.0492
0 -32.0000 -0.4311
0 -32.0000 0.1869
0 -32.0000 -0.1950
0 -31.5000 0.4230
0 -31.0000 0.0410
0 -30.0000 -0.3409
0 -30.0000 0.2771
0 -30.0000 -0.1049
0 -30.0000 -0.4868
0 -29.5000 0.1312
0 -29.5000 -0.2508
0 -29.5000 0.3673
0 -29.5000 -0.0147
0 -29.5000 -0.3967
0 -29.5000 0.2214
0 -29.0000 -0.1606
0 -29.0000 0.4574
0 -29.0000 0.0755
0 -29.0000 -0.3065
0 -29.0000 0.3115
0 -29.0000 -0.0704
0 -29.0000 -0.4524
0 -28.5000 0.1656
0 -28.5000 -0.2163
0 -28.5000 0.4017
0 -28.5000 0.0197
0 -28.5000 -0.3622
0 -28.5000 0.2558
0 -28.0000 -0.1262
0 -28.0000 0.4919
0 -28.0000 0.1099
0 -27.5000 -0.2721
0 -27.5000 0.3460
0 -27.5000 -0.0360
0 -27.5000 -0.4180
0 -27.5000 0.2001
0 -27.5000 -0.1819
0 -27.0000 0.4361
0 -27.0000 0.0542
0 -26.5000 -0.3278
0 -26.0000 0.2902
0 -26.0000 -0.0917
0 -26.0000 -0.4737
0 -26.0000 0.1443
0 -26.0000 -0.2376
0 -25.5000 0.3804
0 -25.5000 -0.0016
0 -25.5000 -0.3835
0 -25.5000 0.2345
0 -25.5000 -0.1475
0 -25.5000 0.4706
0 -25.5000 0.0886
0 -25.0000 -0.2933
0 -25.0000 0.3247
0 -25.0000 -0.0573
0 -25.0000 -0.4392
0 -24.5000 0.1788
0 -24.5000 -0.2032
0 -24.5000 0.4149
0 -24.0000 0.0329
0 -23.5000 -0.3491
0 -23.5000 0.2690
0 -23.0000 -0.1130
0 -23.0000 -0.4950
0 -23.0000 0.1231
0 -23.0000 -0.2589
0 -23.0000 0.3591
0 -23.0000 -0.0228
0 -23.0000 -0.4048
0 -23.0000 0.2132
0 -23.0000 -0.1687
0 -23.0000 0.4493
0 -22.5000 0.0673
0 -22.5000 -0.3146
0 -22.5000 0.3034
0 -22.5000 -0.0786
0 -22.5000 -0.4605
0 -22.5000 0.1575
0 -22.5000 -0.2245
0 -22.5000 0.3936
0 -22.5000 0.0116
0 -22.5000 -0.3704
0 -22.0000 0.2477
0 -22.0000 -0.1343
0 -22.0000 0.4837
0 -22.0000 0.1018
0 -22.0000 -0.2802
0 -22.0000 0.3378
0 -21.5000 -0.0441
0 -21.5000 -0.4261
0 -21.5000 0.1919
0 -21.5000 -0.1900
0 -21.5000 0.4280
0 -21.5000 0.0460
0 -21.5000 -0.3359
0 -21.5000 0.2821
0 -21.5000 -0.0999
0 -21.5000 -0.4818
0 -21.5000 0.1362
0 -21.0000 -0.2458
0 -20.5000 0.3723
0 -19.0000 -0.0097
0 -19.0000 -0.3916
0 -15.5000 0.2264
0 -15.5000 -0.1556
0 -15.0000 0.4625
0 -15.0000 0.0805
0 -15.0000 -0.3015
0 -15.0000 0.3166
0 -15.0000 -0.0654
0 -14.5000 -0.4474
0 -9.5000 0.1707
0 -9.0000 -0.2113
0 -6.0000 0.4067
0 -6.0000 0.0248
0 -6.0000 -0.3572
0 -6.0000 0.2608
0 -2.5000 -0.1211
0 -2.5000 0.4969
0 -0.5000 0.1149
0 -0.5000 -0.2670
0 0.0000 0.3510
0 2.0000 -0.0310
0 2.5000 -0.4129
0 4.5000 0.2051
0 5.0000 -0.1769
0 6.5000 0.4412
0 26.5000 0.0592
0 26.5000 -0.3228
0 26.5000 0.2953
0 28.0000 -0.0867
0 29.5000 -0.4687
1 -22.4273 -0.5000
1 -22.3218 0.1180
1 -22.3191 -0.2639
1 -22.1628 0.3541
1 -15.0000 -0.0279
1 -15.0000 -0.4098
1 -9.6667 0.2082
1 -8.8889 -0.1738
1 -8.7778 0.4443
1 -6.0000 0.0623
1 -6.0000 -0.3197
1 -6.0000 0.2984
1 -6.0000 -0.0836
1 -5.5361 -0.4656
1 -5.3333 0.1525
1 -4.1134 -0.2295
1 -4.1134 0.3885
1 -4.0269 0.0066
1 -3.6308 -0.3754
